Исходные данные,Отсортированные по возрастанию,Отсортированные по убыванию
-7268,-9938,9996
799,-9937,9933
-155,-9921,9909
9648,-9907,9900
3123,-9901,9862
-775,-9900,9852
4116,-9884,9842
4935,-9877,9835
5430,-9869,9805
5832,-9864,9780
-3256,-9835,9779
9852,-9734,9745
4650,-9693,9721
7089,-9625,9715
8983,-9596,9694
327,-9577,9648
8606,-9567,9636
-7103,-9531,9608
6921,-9429,9589
-3784,-9414,9574
-3079,-9408,9547
-3964,-9405,9521
-7837,-9394,9512
-4928,-9389,9507
-5149,-9388,9491
-2123,-9377,9489
8430,-9375,9486
-8129,-9374,9480
-2401,-9355,9469
-7504,-9353,9454
5186,-9327,9446
200,-9309,9441
-9245,-9301,9431
-9203,-9268,9408
7043,-9264,9381
-6781,-9261,9373
5246,-9245,9361
6321,-9239,9347
9721,-9235,9340
9129,-9230,9340
-1264,-9203,9318
7098,-9196,9265
8676,-9176,9258
1723,-9173,9211
1122,-9149,9206
7591,-9106,9204
368,-9097,9182
-3979,-9059,9171
-6440,-9033,9129
2676,-9027,9126
8025,-8972,9095
3754,-8960,9055
4879,-8947,9043
4627,-8889,9018
2134,-8870,8994
5115,-8869,8987
-1378,-8866,8983
9043,-8848,8973
-219,-8838,8946
9340,-8779,8931
6298,-8759,8930
2372,-8709,8892
8635,-8709,8886
-5580,-8680,8880
3062,-8663,8873
-2892,-8656,8858
7455,-8616,8847
4324,-8592,8821
-4749,-8591,8819
-2988,-8585,8802
-604,-8566,8775
4312,-8553,8770
-6082,-8492,8755
-641,-8490,8733
8068,-8438,8728
1491,-8392,8706
5127,-8387,8705
959,-8386,8701
-7043,-8384,8693
-5531,-8366,8676
4165,-8341,8670
-1248,-8329,8635
-203,-8280,8606
4505,-8269,8511
-4205,-8260,8504
7856,-8193,8491
-2635,-8138,8435
-1552,-8137,8430
-6238,-8129,8424
6221,-8118,8387
8819,-8110,8357
-8366,-8087,8355
5914,-8076,8347
-9027,-8068,8247
215,-8062,8231
1157,-8033,8222
3824,-7978,8207
-7582,-7977,8205
2843,-7932,8189
3242,-7902,8183
-6545,-7879,8176
-3479,-7871,8161
-877,-7862,8160
179,-7837,8131
4254,-7827,8129
9171,-7805,8118
-5695,-7726,8115
8994,-7724,8095
-4469,-7718,8091
5041,-7717,8068
-5818,-7696,8065
5403,-7648,8058
3160,-7647,8025
5106,-7646,8013
-9693,-7613,8007
3392,-7582,7911
4368,-7533,7867
-4698,-7508,7856
-8848,-7504,7824
-1533,-7468,7818
-4706,-7462,7813
3866,-7456,7767
3683,-7445,7744
7592,-7438,7705
-7508,-7419,7637
5949,-7407,7592
4622,-7402,7591
3592,-7340,7582
-9230,-7335,7570
5875,-7321,7563
-1714,-7317,7553
1490,-7309,7518
-4005,-7290,7455
8728,-7279,7408
3640,-7268,7404
-6909,-7243,7340
2895,-7225,7329
-6088,-7200,7312
7818,-7148,7285
-3406,-7148,7191
-2003,-7103,7181
-1968,-7097,7098
5620,-7073,7089
-1869,-7063,7043
-5155,-7043,7040
838,-7037,7034
-6467,-7013,6988
-7063,-6913,6979
-5061,-6909,6975
-256,-6885,6957
9608,-6814,6921
-4979,-6809,6907
-8866,-6796,6881
6409,-6785,6832
-320,-6781,6821
7340,-6748,6771
-8087,-6720,6747
9318,-6710,6734
3429,-6708,6713
3907,-6692,6708
-7279,-6644,6676
88,-6634,6668
7312,-6617,6627
5588,-6601,6620
-4373,-6596,6606
-4554,-6582,6597
-9531,-6581,6591
527,-6581,6583
-1283,-6559,6567
8247,-6545,6552
-8280,-6534,6511
-4728,-6533,6504
6975,-6489,6499
-3815,-6467,6496
8706,-6453,6462
5912,-6440,6412
6591,-6407,6409
5115,-6396,6405
4447,-6324,6384
9805,-6314,6363
102,-6249,6322
1052,-6238,6321
5741,-6222,6305
1218,-6179,6298
-4897,-6132,6246
-7718,-6123,6240
-8260,-6114,6221
2579,-6107,6218
-4154,-6102,6192
3310,-6102,6187
5037,-6088,6151
-7225,-6082,6151
8987,-6078,6083
3928,-6048,6082
-3644,-6032,6080
-8838,-6032,6078
4006,-6027,6036
5997,-6012,6030
-9377,-6005,5997
-1038,-6001,5985
-8759,-5961,5972
903,-5953,5949
-5597,-5878,5939
7582,-5853,5929
9381,-5818,5923
-4339,-5814,5919
5939,-5793,5919
787,-5758,5914
7191,-5740,5912
-7879,-5695,5875
2585,-5667,5835
-6114,-5630,5832
-1078,-5622,5811
5212,-5597,5741
-13,-5591,5708
8207,-5580,5707
5113,-5556,5660
2717,-5548,5620
6583,-5539,5612
-8553,-5531,5605
-4819,-5515,5603
581,-5485,5588
1042,-5483,5494
146,-5476,5456
-4792,-5440,5440
-3823,-5438,5430
4981,-5348,5403
-5137,-5331,5352
8176,-5320,5265
7867,-5298,5246
4626,-5264,5240
-1611,-5235,5225
-9106,-5224,5212
5440,-5209,5207
-9864,-5155,5200
-3727,-5155,5186
4627,-5150,5168
3688,-5149,5139
-6581,-5137,5127
6552,-5124,5115
-3996,-5070,5115
-7148,-5061,5113
2464,-5060,5106
-247,-5050,5041
5139,-5034,5037
-6814,-5003,4981
8161,-5002,4937
9745,-4979,4935
-1662,-4972,4895
4676,-4963,4881
-7438,-4959,4879
-5348,-4928,4859
3173,-4897,4799
3634,-4870,4707
1605,-4838,4705
-9577,-4819,4688
-9033,-4792,4681
-5630,-4783,4676
-948,-4760,4672
-9567,-4755,4650
3097,-4749,4627
7813,-4741,4627
2121,-4728,4626
8930,-4706,4622
4299,-4698,4591
6713,-4695,4586
9996,-4689,4578
6363,-4657,4561
-6032,-4654,4552
-8960,-4618,4552
-3750,-4595,4544
-2296,-4590,4508
-3228,-4556,4505
-4689,-4554,4505
-589,-4529,4479
2424,-4469,4470
-856,-4466,4467
-3989,-4465,4447
9182,-4407,4440
-1648,-4396,4395
-7805,-4382,4368
